v8-version,7,6,303,29,-node.15,0
code-creation,Builtin,3,3171,0x12f34a0,2790,ArrayPrototypePush
code-creation,Builtin,3,3177,0x12f3fa0,12,ArrayShift
code-creation,Builtin,3,3182,0x12f3fc0,12,ArrayUnshift
code-creation,Builtin,3,3187,0x12f3fe0,1174,CloneFastJSArray
code-creation,Builtin,3,3192,0x12f4480,2644,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,3198,0x12f4ee0,1170,ExtractFastJSArray
code-creation,Builtin,3,3203,0x12f5380,307,ArrayPrototypeEntries
code-creation,Builtin,3,3209,0x12f54c0,299,ArrayPrototypeKeys
code-creation,Builtin,3,3214,0x12f5600,307,ArrayPrototypeValues
code-creation,Builtin,3,3219,0x12f5740,4576,ArrayIteratorPrototypeNext
code-creation,Builtin,3,3225,0x12f6940,3920,FlattenIntoArray
code-creation,Builtin,3,3230,0x12f78a0,3884,FlatMapIntoArray
code-creation,Builtin,3,3235,0x12f87e0,508,ArrayPrototypeFlat
code-creation,Builtin,3,3240,0x12f89e0,556,ArrayPrototypeFlatMap
code-creation,Builtin,3,3251,0x12f8c20,12,ArrayBufferConstructor
code-creation,Builtin,3,3266,0x12f8c40,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,3273,0x12f8c60,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,3279,0x12f8c80,12,ArrayBufferIsView
code-creation,Builtin,3,3285,0x12f8ca0,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,3291,0x12f8cc0,450,AsyncFunctionEnter
code-creation,Builtin,3,3296,0x12f8ea0,161,AsyncFunctionReject
code-creation,Builtin,3,3306,0x12f8f60,153,AsyncFunctionResolve
code-creation,Builtin,3,3313,0x12f9000,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,3321,0x12f9020,1386,AsyncFunctionAwaitCaught
code-creation,Builtin,3,3329,0x12f95a0,1386,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,3335,0x12f9b20,118,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,3341,0x12f9ba0,110,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,3347,0x12f9c20,12,BigIntConstructor
code-creation,Builtin,3,3353,0x12f9c40,12,BigIntAsUintN
code-creation,Builtin,3,3359,0x12f9c60,12,BigIntAsIntN
code-creation,Builtin,3,3365,0x12f9c80,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,3372,0x12f9ca0,12,BigIntPrototypeToString
