v8-version,7,6,303,29,-node.15,0
code-creation,Builtin,3,1910,0x12f8ca0,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,1912,0x12f8cc0,450,AsyncFunctionEnter
code-creation,Builtin,3,1915,0x12f8ea0,161,AsyncFunctionReject
code-creation,Builtin,3,1919,0x12f8f60,153,AsyncFunctionResolve
code-creation,Builtin,3,1921,0x12f9000,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,1924,0x12f9020,1386,AsyncFunctionAwaitCaught
code-creation,Builtin,3,1926,0x12f95a0,1386,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,1929,0x12f9b20,118,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,1931,0x12f9ba0,110,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,1934,0x12f9c20,12,BigIntConstructor
code-creation,Builtin,3,1936,0x12f9c40,12,BigIntAsUintN
code-creation,Builtin,3,1939,0x12f9c60,12,BigIntAsIntN
code-creation,Builtin,3,1941,0x12f9c80,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,1943,0x12f9ca0,12,BigIntPrototypeToString
code-creation,Builtin,3,1946,0x12f9cc0,12,BigIntPrototypeValueOf
code-creation,Builtin,3,1948,0x12f9ce0,186,BooleanPrototypeToString
code-creation,Builtin,3,1950,0x12f9da0,178,BooleanPrototypeValueOf
code-creation,Builtin,3,1953,0x12f9e60,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,1955,0x12f9e80,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,1958,0x12f9ea0,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,1960,0x12f9ec0,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,1963,0x12f9ee0,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,1965,0x12f9f00,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,1968,0x12f9f20,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,1970,0x12f9f40,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,1973,0x12f9f60,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,1975,0x12f9f80,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,1978,0x12f9fa0,12,CallSitePrototypeGetThis
code-creation,Builtin,3,1980,0x12f9fc0,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,1983,0x12f9fe0,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,1985,0x12fa000,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,1988,0x12fa020,12,CallSitePrototypeIsEval
code-creation,Builtin,3,1990,0x12fa040,12,CallSitePrototypeIsNative
code-creation,Builtin,3,1992,0x12fa060,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,1995,0x12fa080,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,1997,0x12fa0a0,12,CallSitePrototypeToString
code-creation,Builtin,3,2000,0x12fa0c0,12,ConsoleDebug
code-creation,Builtin,3,2002,0x12fa0e0,12,ConsoleError
code-creation,Builtin,3,2004,0x12fa100,12,ConsoleInfo
code-creation,Builtin,3,2006,0x12fa120,12,ConsoleLog
code-creation,Builtin,3,2009,0x12fa140,12,ConsoleWarn
code-creation,Builtin,3,2011,0x12fa160,12,ConsoleDir
code-creation,Builtin,3,2013,0x12fa180,12,ConsoleDirXml
code-creation,Builtin,3,2015,0x12fa1a0,12,ConsoleTable
code-creation,Builtin,3,2018,0x12fa1c0,12,ConsoleTrace
code-creation,Builtin,3,2020,0x12fa1e0,12,ConsoleGroup
code-creation,Builtin,3,2022,0x12fa200,12,ConsoleGroupCollapsed
code-creation,Builtin,3,2024,0x12fa220,12,ConsoleGroupEnd
code-creation,Builtin,3,2026,0x12fa240,12,ConsoleClear
code-creation,Builtin,3,2029,0x12fa260,12,ConsoleCount
code-creation,Builtin,3,2031,0x12fa280,12,ConsoleCountReset
code-creation,Builtin,3,2033,0x12fa2a0,12,ConsoleAssert
code-creation,Builtin,3,2035,0x12fa2c0,394,FastConsoleAssert
code-creation,Builtin,3,2038,0x12fa460,12,ConsoleProfile
code-creation,Builtin,3,2040,0x12fa480,12,ConsoleProfileEnd
code-creation,Builtin,3,2042,0x12fa4a0,12,ConsoleTime
code-creation,Builtin,3,2044,0x12fa4c0,12,ConsoleTimeLog
code-creation,Builtin,3,2047,0x12fa4e0,12,ConsoleTimeEnd
code-creation,Builtin,3,2049,0x12fa500,12,ConsoleTimeStamp
code-creation,Builtin,3,2051,0x12fa520,12,ConsoleContext
code-creation,Builtin,3,2053,0x12fa540,12,DataViewConstructor
code-creation,Builtin,3,2056,0x12fa560,12,DateConstructor
code-creation,Builtin,3,2058,0x12fa580,259,DatePrototypeGetDate
code-creation,Builtin,3,2060,0x12fa6a0,259,DatePrototypeGetDay
code-creation,Builtin,3,2063,0x12fa7c0,259,DatePrototypeGetFullYear
code-creation,Builtin,3,2065,0x12fa8e0,259,DatePrototypeGetHours
code-creation,Builtin,3,2068,0x12faa00,227,DatePrototypeGetMilliseconds
code-creation,Builtin,3,2071,0x12fab00,259,DatePrototypeGetMinutes
code-creation,Builtin,3,2073,0x12fac20,259,DatePrototypeGetMonth
code-creation,Builtin,3,2076,0x12fad40,259,DatePrototypeGetSeconds
code-creation,Builtin,3,2078,0x12fae60,146,DatePrototypeGetTime
code-creation,Builtin,3,2081,0x12faf00,227,DatePrototypeGetTimezoneOffset
code-creation,Builtin,3,2083,0x12fb000,227,DatePrototypeGetUTCDate
code-creation,Builtin,3,2086,0x12fb100,227,DatePrototypeGetUTCDay
code-creation,Builtin,3,2088,0x12fb200,227,DatePrototypeGetUTCFullYear
code-creation,Builtin,3,2091,0x12fb300,227,DatePrototypeGetUTCHours
code-creation,Builtin,3,2093,0x12fb400,227,DatePrototypeGetUTCMilliseconds
code-creation,Builtin,3,2096,0x12fb500,227,DatePrototypeGetUTCMinutes
code-creation,Builtin,3,2098,0x12fb600,227,DatePrototypeGetUTCMonth
code-creation,Builtin,3,2100,0x12fb700,227,DatePrototypeGetUTCSeconds
code-creation,Builtin,3,2103,0x12fb800,146,DatePrototypeValueOf
code-creation,Builtin,3,2105,0x12fb8a0,464,DatePrototypeToPrimitive
code-creation,Builtin,3,2107,0x12fba80,12,DatePrototypeGetYear
code-creation,Builtin,3,2110,0x12fbaa0,12,DatePrototypeSetYear
code-creation,Builtin,3,2113,0x12fbac0,12,DateNow
code-creation,Builtin,3,2115,0x12fbae0,12,DateParse
code-creation,Builtin,3,2117,0x12fbb00,12,DatePrototypeSetDate
code-creation,Builtin,3,2119,0x12fbb20,12,DatePrototypeSetFullYear
code-creation,Builtin,3,2122,0x12fbb40,12,DatePrototypeSetHours
code-creation,Builtin,3,2124,0x12fbb60,12,DatePrototypeSetMilliseconds
code-creation,Builtin,3,2127,0x12fbb80,12,DatePrototypeSetMinutes
code-creation,Builtin,3,2129,0x12fbba0,12,DatePrototypeSetMonth
code-creation,Builtin,3,2131,0x12fbbc0,12,DatePrototypeSetSeconds
code-creation,Builtin,3,2134,0x12fbbe0,12,DatePrototypeSetTime
code-creation,Builtin,3,2136,0x12fbc00,12,DatePrototypeSetUTCDate
code-creation,Builtin,3,2138,0x12fbc20,12,DatePrototypeSetUTCFullYear
